         50883 function calls (47236 primitive calls) in 0.147 seconds

   Ordered by: cumulative time
   List reduced from 103 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.061    0.001    0.061    0.001 {built-in method builtins.print}
      200    0.001    0.000    0.043    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:97(create_problem)
      200    0.003    0.000    0.032    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:30(create_ast_tree)
 1100/200    0.008    0.000    0.029    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:46(recursive_create_ast)
      100    0.010    0.000    0.021    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:68(create_ast_tree_iterative)
      458    0.001    0.000    0.017    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:5(update_list)
 2654/458    0.011    0.000    0.015    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:6(recursive_make_list)
      200    0.000    0.000    0.009    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\problem.py:27(__init__)
     1100    0.006    0.000    0.006    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:20(is_number)
      850    0.003    0.000    0.005    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:143(__init__)
    11514    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
      740    0.003    0.000    0.004    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:176(__init__)
      450    0.003    0.000    0.003    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:31(find_all_operands)
     5404    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1000    0.002    0.000    0.003    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\parse.py:27(is_letter)
      390    0.001    0.000    0.003    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:521(__init__)
      250    0.001    0.000    0.003    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:484(__init__)
     1003    0.002    0.000    0.003    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:52(__init__)
  594/574    0.001    0.000    0.002    0.000 c:\Users\Dizer\Desktop\Reshator\Reshator-2.0\arcade_test\ast.py:34(__eq__)
